players_id,player_known_name
40969,Antonio Mikaele Tu'u
44464,Aki Kajihara
44466,Hiroki Kawase
44468,Ryo Omasa
44475,Yoshitaka Motomura
44476,Kentaro Sugimori
44480,Ayato Sakamoto
44506,Daiyu Ishimori
45181,Hyong Ji Kim
45184,Kengo Nakamura
45322,Mitsuo Nakao
45324,Keigo Hamazoe
47266,Shoya Koyama
49473,Shinpei Suganuma
902048,Sho Nakamura
904489,Tumanawa Tawhai
904705,Kei Shibuya
904706,Rui Kuriyama
904707,Kota Hojo
904709,Kota Nakamura
904718,Taisei Nakao
904719,Yosuke Ishii
904720,Takuro Hayashida
904723,Yuta Sugiyama
905785,Kei Takusagawa
908953,Koshi Emoto
908954,Daiki Yokota
908955,Kakeru Sugihara
908956,Kai Yamasaki
908957,Jun Kaneko
908958,Shohei Tsujimura
908959,Jamie Vakalahi
908960,Tebita Oto
909983,Ren Shinwada
912215,Ryutaro Iguchi
912216,Shogo Yanagita
912217,Sou Matsushima
1878,Lima Sopoaga
2126,Kayne Hammington
2803,John-Ben Kotze
4088,Siale Piutau
6386,Yutaro Shirako
6404,Tooru Kanazawa
6685,Murphy Taramai
7859,Orbyn Leger
11067,Takatoshi Sugawara
11070,Suguru Hidaka
11081,Naoki Moriya
31348,Takaaki Okuma
33286,Naomichi Tatekawa
34791,Taku Inoue
35432,Tom Rowe
41323,Josh Basham
44441,Sam Chongkit
44685,Michael Toloke
47287,Fumiya Matou
47288,Daiki Shimura
47289,Ryota Sakino
47290,Taishi Sakurai
47291,Shuhei Sasaki
47756,Toru Morita
